avg_loser_size_usd,avg_txs_per_position,avg_winner_size_usd,best_position_pnl_usd,biggest_position_usd,conviction_ratio,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate,net_pnl_all_usd,roi_all,n_positions_all,n_losers,gross_losses_usd,worst_position_usd,n_total_wipeouts,wipeout_loss_usd,n_txs_all,biggest_position_all_usd,clean_pnl_usd,clean_invested_usd,inflow_pnl_usd,n_clean_positions,n_sold_without_buying,sold_without_buying_usd,best_clean_position_usd,clean_pnl_excluding_best_usd,recent_pnl_180d_usd,recent_positions_180d,size_variation,active_hours_of_day,best_position_share,verdict
7646,3.40000000000000000,12042,88849,39947,1.57,,2024-01-31 07:25:26.000 UTC,2025-10-07 03:22:23.000 UTC,161858,198,8,7,4,0.25000000000000000,73009,1,1.2,28746,134427,5i5HR5Gre5NsYeJyKcQfHHHfx5KmEGbsXjuM5cab99Kb,0.50000000000000000,54547,0.04,170,129,-599304,-49403,42,237646,570,125420,55410,1426067,-4484,162,6,15313,129845,-74435,0,0,1.45,13,2.34,REJECT: sells tokens it never bought
5685,8.20000000000000000,27519,41107,69827,4.84,,2024-02-14 18:00:29.000 UTC,2024-07-28 10:29:50.000 UTC,55850,22,5,1,3,0.00000000000000000,14743,0,0.3,0,188115,7iBFJCA4zSL4viZopPbEQZLmWTMCWSCuQkEyGhoGnQPz,0.60000000000000000,54061,0.21,19,12,-5496,-1517,2,400,155,69827,54111,254429,-50,18,0,0,41107,13004,0,0,1.38,18,0.76,pass
7634,5.50000000000000000,12138,58683,83436,1.59,,2024-01-10 06:10:38.000 UTC,2026-02-05 19:03:21.000 UTC,88863,26,10,9,6,0.10000000000000000,30180,0,0.29,2205,305675,3faU48ZVCcNQFr9tefuHWWKbaLDDn4GxCCxgQgYvgVbA,0.60000000000000000,75186,0.14,60,41,-172668,-31345,15,47257,331,83436,53927,420730,21259,51,6,20423,58683,-4756,0,0,1.74,12,1.09,REJECT: sells tokens it never bought
4553,3.10000000000000000,8790,53353,37878,1.93,,2024-10-24 02:29:03.000 UTC,2025-01-24 02:03:21.000 UTC,72692,11,6,3,6,0.17000000000000000,19339,0,0.62,0,116515,EZ2iuTuTNrbNgPbdJgAoPh7gt5vJfSZPPEXiu4HS31VH,1.00000000000000000,53753,0.2,42,24,-34635,-7854,6,7541,130,37878,53426,257138,328,39,0,0,53353,72,0,0,1.4,6,1.0,REJECT: never sized up
5851,6.00000000000000000,11945,137015,95966,2.04,,2024-11-22 21:20:57.000 UTC,2025-09-21 05:49:39.000 UTC,257518,5,15,11,8,0.27000000000000000,120503,0,0.53,0,484543,2KZLPR762U6e4xf4vfmFF11b7mqoPMeP8JTJKZ9uDjJy,0.53000000000000000,288667,0.17,221,152,-413121,-56421,39,73433,1320,115152,53373,1532482,235294,210,2,4590,137015,-83642,-1632,2,1.98,17,2.57,pass
10655,5.30000000000000000,14815,80426,46548,1.39,,2024-11-11 11:43:35.000 UTC,2025-01-30 23:57:58.000 UTC,184272,5,8,0,5,0.13000000000000000,103846,0,0.71,0,260181,DnpTSZFrPCqobnPHXYLCKF7vLf3vamAsE3ond4txNLWw,0.63000000000000000,51433,0.04,102,80,-409394,-21682,22,82123,539,46610,51433,1178302,0,102,0,0,110052,-58619,0,0,1.02,10,2.14,REJECT: never sized up
3002,2.80000000000000000,9288,68998,45115,3.09,,2024-02-26 05:34:59.000 UTC,2025-07-24 18:24:50.000 UTC,172645,21,6,4,5,0.33000000000000000,103647,0,1.67,0,103582,HiZrop9tcaQWLeApoBgMSeqBzev86a7fWkq7PoLi2zyd,0.83000000000000000,151830,0.84,33,20,-36987,-7180,9,14063,94,45115,50405,145608,101425,29,3,15915,68998,-18592,0,0,1.54,8,1.37,REJECT: sells tokens it never bought
11539,3.60000000000000000,21905,178303,221752,1.9,,2024-11-19 08:46:46.000 UTC,2026-07-08 08:45:07.000 UTC,190984,32,12,5,6,0.00000000000000000,12681,0,0.43,0,445710,BPwFQZdmJuVv9u46uDkzGovaGs3JNmpoyms2qzRiiBMt,0.50000000000000000,45358,0.06,54,38,-217721,-32210,14,153026,196,221752,50199,750626,-4841,49,1,1217,178303,-128104,-10730,2,2.11,13,3.55,pass
15062,7.90000000000000000,207569,141099,305363,13.78,,2026-06-12 10:40:16.000 UTC,2026-07-11 09:23:17.000 UTC,184296,13,3,3,3,0.33000000000000000,43197,1,0.21,407426,867781,D22TAiPU4bhsKeKzXnsxpQB6XCMLmznDvdSoPA7yx9TK,1.00000000000000000,185376,0.17,7,2,-15614,-15581,1,15581,55,305363,49599,785814,135777,4,0,0,32090,17510,185376,7,0.85,6,0.65,REJECT: too few reconciled positions
14836,4.90000000000000000,20424,135810,87338,1.38,,2024-10-19 16:04:00.000 UTC,2025-07-22 18:12:15.000 UTC,203293,9,10,0,7,0.10000000000000000,67483,0,0.59,0,346290,fCfDM9hnSkWKVEPE23CvnuX2U9ZB3hYnNiQPq7NvCuA,0.70000000000000000,49154,0.06,47,32,-198531,-74439,2,5473,230,154869,49154,781115,0,47,1,59859,135810,-86656,0,0,1.78,15,2.76,REJECT: sells tokens it never bought
