# Solana memecoin universe — mints VERIFIED against Dune prices.day +
# latest_balances on 2026-08-15 (query 8344089).
#
# Floor is $20M peak market cap: a wallet that entered at $1M and rode to $20M
# made 20x, the same call quality as a $100M run on a smaller name. 269 tokens
# cleared that screen; scripts/find_whales.py classified 99 of them out as
# LSTs, stables, bridged majors, tokenised equities and infra.
#
# ASDEX removed by hand — it prices at $71B, a supply-vs-peak-price artifact of
# the same kind as MOMO, just under the sanity ceiling.
#
# Format: <mint>  # SYMBOL  peak mcap
# Regenerate with: python3 scripts/find_whales.py tokens
HfQuaLjMguh7vyZqqrWuVqpsjQd7tAPrzBWKqA3pDTH3 # JENSEN       $     28.4M
EF23Avq2cTPnMVTfHacZ3SG5Z8misHmFA2gbt2rKqiYH # WHOREN       $     28.0M
6yjNqPzTSanBWSa6dxVEgTjePXBrZ2FoHLDQwYwEsyM6 # Chud         $     27.6M
PRSMNsEPqhGVCH1TtWiJqPjJyh2cKrLostPZTNy1o5x  # PRISM        $     27.0M
FJug3z58gssSTDhVNkTse5fP8GRZzuidf9SRtfB2RhDe # TSLAr        $     26.9M
4TBi66vi32S7J8X1A6eWfaLHYmUXu7CStcEmsJQdpump # GHIBLI       $     26.3M
DFL1zNkaGPWm1BqAVqRjCZvHmwTFrEaJtbzJWgseoNJh # DFL          $     26.2M
AqEHVh8J2nXH9saV2ciZyYwPpqWFRfD2ffcq5Z8xxqm5 # YAKU         $     25.8M
Hz1XePA2vukqFBcf9P7VJ3AsMKoTXyPn3s21dNvGrHnd # LIBRA        $     24.5M
kNkT1RDnexWqYP3EYGyWv5ZtazB8CfgGAfJtv9AQ3kz  # KNK          $     24.3M
7NQSHjuEGENZDWfSvPZz7oP2D6c5Jc3LjFC6uh179ufr # MOAI         $     24.2M
3de2yRhtD4VbJBb8EQAQffYMPLU4EnSHT1eveBwiL3tn # LOAF         $     24.1M
FYa25XnBsXQXAdTnsyKBKd5gZ1VZhChBRF57CqfRxJZX # MONK         $     23.8M
7YFs3oLBEqJffu5VjByokYUTJYRdFrpEFtRngji4LyxS # SHREDN       $     23.5M
7iT1GRYYhEop2nV1dyCwK2MGyLmPHq47WhPGSwiqcUg5 # ANALOS       $     23.3M
FmQ7v2QUqXVVtAXkngBh3Mwx7s3mKT55nQ5Z673dURYS # DARK         $     23.3M
GENEtH5amGSi8kHAtQoezp1XEXwZJ8vcuePYnXdKrMYz # GENE         $     23.2M
LSTxxxnJzKDFSLr4dUkPcmCf5VyryEqzPLz5j4bpxFp  # LST          $     23.2M
4sp2EUDrQf46rZun6sYAWzjrXwUpx2T3njuoKmV766RJ # $HAMI        $     23.1M
7DGJnYfJrYiP5CKBx6wpbu8F5Ya1swdFoesuCrAKCzZc # MELON        $     22.9M
HCgybxq5Upy8Mccihrp7EsmwwFqYZtrHrsmsKwtGXLgW # STAR         $     21.7M
Fxgdfsy1Z5Mvh53o69s2Ev6TGxtAJ1RQ5RJ5moCpKmQZ # SI           $     21.7M
9noXzpXnkyEcKF3AeXqUHTdR59V5uvrRBUZ9bwfQwxeq # KING         $     20.9M
3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z # BORG         $     20.6M
4GJ3TCt5mTgQT5BRKb14AkjddpFQqKVfphxzS3t4foZ9 # JENNER       $     20.5M
6gnCPhXtLnUD76HjQuSYPENLSZdG8RvDB1pTLM5aLSJA # BSKT         $     20.1M
